startTime,endTime,true,segmentName
0.000000000,0.406349206,0,"N1"
0.406349206,61.300680272,1,"A"
61.300680272,68.510476190,0,"N2"
68.510476190,82.070929705,2,"B"
82.070929705,95.759092970,2,"B"
95.759092970,109.319546485,0,"N3"
109.319546485,169.958458049,1,"A"
169.958458049,192.667573696,0,"N4"
