startTime,endTime,segmentName
0.000000,10.191018,"A"
10.459202,26.952560,"B"  
27.354837,37.679947,"C"
37.679947,51.893735,"D" 
51.893735,56.318782,"E"
56.318782,61.012014,"F"
61.146106,72.409863,"G"
72.409863,88.769128,"H"
89.037312,104.323839,"D"
104.323839,109.017071,"E"
109.285255,113.308026,"F"
113.844395,124.974059,"G" 
125.510428,143.478802,"H"
143.478802,160.642621,"I"
