0.000000000,13.800000000
13.800000000,20.800000000
20.800000000,26.000000000
26.000000000,34.400000000
34.400000000,40.200000000
40.200000000,54.600000000
54.600000000,67.200000000
67.200000000,74.000000000
74.000000000,81.000000000
81.000000000,87.600000000
87.600000000,94.600000000
94.600000000,109.200000000
109.200000000,122.400000000
122.400000000,129.600000000
129.600000000,134.800000000
134.800000000,143.200000000
143.200000000,148.600000000
148.600000000,163.000000000
163.000000000,193.000000000
