0.007608409,167.7654149,0.05
0.015957665,351.8665137,0.1
0.023655472,521.6031638,0.15
0.03027358,667.5324405,0.2
0.037442293,825.602562,0.25
0.044604964,983.5394518,0.3
0.052233934,1151.758244,0.35
0.059959134,1322.098897,0.4
0.067351917,1485.109781,0.45
0.075022637,1654.249153,0.5
0.082582603,1820.946403,0.55
0.088605434,1953.749825,0.6
0.096752238,2133.386856,0.65
0.104474387,2303.660236,0.7
0.112209347,2474.216106,0.75
0.12042367,2655.34193,0.8
0.128004891,2822.507838,0.85
0.135249109,2982.242856,0.9
0.143008708,3153.342018,0.95
0.150980151,3329.112319,1
0.150020561,3307.953366,1.05
0.149853187,3304.262778,1.1
0.149322461,3292.560258,1.15
0.150973694,3328.96995,1.2
0.155326582,3424.951142,1.25
0.156379521,3448.168427,1.3
0.157064763,3463.278031,1.35
0.158615013,3497.461043,1.4
0.159903343,3525.868718,1.45
0.161065715,3551.499007,1.5
0.163411427,3603.221959,1.55
0.165091326,3640.263747,1.6
0.167107948,3684.730247,1.65
0.167633946,3696.328512,1.7
0.168723725,3720.358145,1.75
0.168827906,3722.655336,1.8
0.169569091,3738.998446,1.85
0.172500674,3803.639855,1.9
0.17474568,3853.142235,1.95
0.175832526,3877.107189,2
0.177869156,3922.014894,2.05
0.178117507,3927.491034,2.1
0.179057223,3948.211772,2.15
0.174517329,3848.107111,2.2
0.166598713,3673.501622,2.25
0.162032227,3572.810605,2.3
0.15754538,3473.875633,2.35
0.151924749,3349.940711,2.4
0.146915557,3239.488041,2.45
0.141426768,3118.46023,2.5
0.133520806,2944.133779,2.55
0.126861341,2797.292562,2.6
0.118033531,2602.639365,2.65
0.112299402,2476.201814,2.7
0.112610443,2483.060264,2.75
0.112646488,2483.855065,2.8
0.115679252,2550.727498,2.85
0.118095801,2604.012401,2.9
0.120117666,2648.594524,2.95
0.121490613,2678.868006,3
0.117484827,2590.540429,3.05
0.115216693,2540.528074,3.1
0.113450443,2501.582266,3.15
0.117850817,2598.610521,3.2
0.119217288,2628.741189,3.25
0.119752675,2640.546482,3.3
0.120004809,2646.106041,3.35
0.120433046,2655.548673,3.4
0.121160266,2671.583865,3.45
0.122438593,2699.770971,3.5
0.125253784,2761.845942,3.55
0.129328055,2851.683619,3.6
0.133087054,2934.569547,3.65
0.135579527,2989.528579,3.7
0.131128,2891.372409,3.75
0.126942125,2799.073847,3.8
0.117523349,2591.389843,3.85
0.10632068,2344.370987,3.9
0.096120084,2119.447851,3.95
0.089923123,1982.804859,4
0.091304627,2013.267016,4.05
0.092107779,2030.976516,4.1
0.094295616,2079.218331,4.15
0.095851272,2113.520548,4.2
0.099459973,2193.092401,4.25
0.103954555,2292.197938,4.3
0.107695533,2374.686503,4.35
0.112508795,2480.818932,4.4
0.116734796,2574.002247,4.45
0.120345636,2653.621263,4.5
0.123998053,2734.157066,4.55
0.130332245,2873.826011,4.6
0.136961435,3019.999633,4.65
0.141184502,3113.118274,4.7
0.141272629,3115.061463,4.75
0.141565169,3121.511972,4.8
0.144316941,3182.18854,4.85
0.147967139,3262.675406,4.9
0.150522915,3319.030271,4.95
0.149647296,3299.722875,5
0.1462442,3224.684608,5.05
0.141609246,3122.483872,5.1
0.135466951,2987.04627,5.15
0.128119857,2825.042851,5.2
0.121812763,2685.971429,5.25
0.115421868,2545.052181,5.3
0.109479907,2414.031947,5.35
0.102237858,2254.344776,5.4
0.0949748,2094.19434,5.45
0.088874527,1959.683318,5.5
0.083312353,1837.037392,5.55
0.074842931,1650.28663,5.6
0.066492217,1466.153375,5.65
0.060820263,1341.086802,5.7
0.059806276,1318.728377,5.75
0.059132785,1303.877917,5.8
0.058466602,1289.188575,5.85
0.057594118,1269.950307,5.9
0.057429993,1266.331336,5.95
0.058497646,1289.873084,6
0.059883286,1320.426454,6.05
0.061689597,1360.255613,6.1
0.062843369,1385.696275,6.15
0.06389195,1408.817487,6.2
0.063165909,1392.808282,6.25
0.062561138,1379.473086,6.3
0.063170315,1392.90544,6.35
0.066793841,1472.804198,6.4
0.070748688,1560.008572,6.45
0.076848552,1694.51057,6.5
0.082614923,1821.659043,6.55
0.089863257,1981.484827,6.6
0.095525611,2106.339712,6.65
0.100689486,2220.203164,6.7
0.104581894,2306.030758,6.75
0.109863408,2422.488155,6.8
0.113194673,2495.942548,6.85
0.120895033,2665.735467,6.9
0.129935925,2865.087155,6.95
0.137303797,3027.548717,7
0.138906911,3062.897383,7.05
0.138202644,3047.368296,7.1
0.137500393,3031.883657,7.15
0.137096751,3022.983351,7.2
0.138417726,3052.110849,7.25
0.139533604,3076.715959,7.3
0.139775793,3082.056244,7.35
0.137075797,3022.521313,7.4
0.13437648,2963.001375,7.45
0.12865945,2836.94087,7.5
0.122474921,2700.57201,7.55
0.114725343,2529.693804,7.6
0.108295887,2387.924297,7.65
0.102243827,2254.476374,7.7
0.097321209,2145.932654,7.75
0.091007153,2006.707732,7.8
0.086445551,1906.124391,7.85
0.077590048,1710.860563,7.9
0.067439879,1487.049328,7.95
0.059049286,1302.03675,8
0.056998027,1256.806488,8.05
0.057247036,1262.297138,8.1
0.058156994,1282.361723,8.15
0.058976734,1300.436994,8.2
0.059948254,1321.859006,8.25
0.060676275,1337.911862,8.3
0.061531316,1356.765511,8.35
0.062504346,1378.220827,8.4
0.063679232,1404.127076,8.45
0.06475828,1427.920073,8.5
0.065822608,1451.388503,8.55
0.066973469,1476.764989,8.6
0.067799727,1494.983985,8.65
0.068393654,1508.080081,8.7
0.069082958,1523.279229,8.75
0.069860145,1540.416187,8.8
